txn_id,value_date,narration,credit_paise,debit_paise,balance_paise
bank_000001,2026-04-01,NEFT-SBINN00000000201-RAZORPAY SOFTWARE PVT,5939192,0,55939192
bank_000002,2026-04-02,IMPS/HDFCN00000000173/RAZORPAYSOFT,65815001,0,121754193
bank_000003,2026-04-02,NEFT-HDFCN00000000213-RAZORPAY SOFTWARE PVT LTD,99517825,0,221272018
bank_000004,2026-04-03,MERCHANT PAYOUT RAZORPAY SOFTWARE PVT LTD UTR SBINN00000000070,29888436,0,251160454
bank_000005,2026-04-03,GATEWAY PAYOUT RAZORPAY,58929664,0,310090118
bank_000006,2026-04-03,NEFT CR-RAZORPAY SOFTWARE PVT LTD,58929664,0,369019782
bank_000007,2026-04-04,BANK CHARGES GST,0,2697644,366322138
bank_000008,2026-04-05,RAZORPAY SOFTWARE PRIVATE LIMITED SETTLEMENT REF KKBKN00000000134,113985747,0,480307885
bank_000009,2026-04-05,BY TRANSFER-NEFT*SBINN00000000191*RAZORPAY,27321474,0,507629359
bank_000010,2026-04-05,IMPS/HDFCN00000000203/RAZORPAYSOFT,19815466,0,527444825
bank_000011,2026-04-05,NEFT CR-HDFCN00000000211-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTLEMENT,48763049,0,576207874
bank_000012,2026-04-05,BY TRANSFER-NEFT*HDFCN00000000247*RAZORPAY,24199528,0,600407402
bank_000013,2026-04-06,ACH C- RAZORPAY SOFTW KKBKN00000000038,69825109,0,670232511
bank_000014,2026-04-07,NEFT-HDFCN00000000063-RAZORPAY SOFTWARE PVT LTD,99796216,0,770028727
bank_000015,2026-04-07,ACH C- RAZORPAY SOFTW ICICN00000000157,56398068,0,826426795
bank_000016,2026-04-07,IMPS/UTIBN00000000169/RAZORPAYSOFT,45968455,0,872395250
bank_000017,2026-04-07,NEFT CR-SBINN00000000223-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTLEMENT,43066967,0,915462217
bank_000018,2026-04-07,MERCHANT PAYOUT RAZORPAY SOFTWARE PVT LTD UTR SBINN00000000270,17748518,0,933210735
bank_000019,2026-04-08,MB:UTIBN00000000007 RZPY SETTLEMENT,17521960,0,950732695
bank_000020,2026-04-08,RETURN OF NEFT HDFCN00000000063,0,99796216,850936479
bank_000021,2026-04-08,MERCHANT PAYOUT RAZORPAY SOFTWARE PVT LTD UTR UTIBN00000000082,43134638,0,894071117
bank_000022,2026-04-08,MB:SBINN00000000148 RZPY SETTLEMENT,36784269,0,930855386
bank_000023,2026-04-08,GATEWAY PAYOUT RAZORPAY,74915799,0,1005771185
bank_000024,2026-04-08,ACH C- RAZORPAY SOFTW KKBKN00000000205,62571074,0,1068342259
bank_000025,2026-04-09,NEFT CR-HDFCN00000000063-RAZORPAY SOFTWARE PRIVATE LIMITED,99796216,0,1168138475
bank_000026,2026-04-09,ACH C- RAZORPAY SOFTW KKBKN00000000111,98837514,0,1266975989
bank_000027,2026-04-09,BY TRANSFER-RAZORPAY SOFTW,48107412,0,1315083401
bank_000028,2026-04-09,GATEWAY PAYOUT RAZORPAY,70525194,0,1385608595
bank_000029,2026-04-09,MERCHANT SETTLEMENT CR,138267312,0,1523875907
bank_000030,2026-04-10,ACH C- RAZORPAY SOFTW SBINN00000000047,33471009,0,1557346916
bank_000031,2026-04-10,GATEWAY PAYOUT RAZORPAY,52885004,0,1610231920
bank_000032,2026-04-10,UPI-RAZORPAY-KKBKN00000000185,56026941,0,1666258861
bank_000033,2026-04-10,RAZORPAY SOFTWARE PRIVATE LIMITED SETTLEMEN,24839772,0,1691098633
bank_000034,2026-04-10,ACH C- RAZORPAY SOFTW HDFCN00000000241,30530619,0,1721629252
bank_000035,2026-04-11,NEFT CR-RAZORPAY SOFTWARE PVT LTD,8272275,0,1729901527
bank_000036,2026-04-11,BY TRANSFER-NEFT*ICICN00000000075*RAZORPAY,14313009,0,1744214536
bank_000037,2026-04-11,NEFT-UTIBN00000000102-RAZORPAY SOFTWARE PVT LTD,70512077,0,1814726613
bank_000038,2026-04-11,ACH C- RAZORPAY SOFTW SBINN00000000208,84359434,0,1899086047
bank_000039,2026-04-11,NEFT-HDFCN00000000239-RAZORPAY SOFTWARE PVT LTD,95879196,0,1994965243
bank_000040,2026-04-12,MERCHANT SETTLEMENT CR,86013513,0,2080978756
bank_000041,2026-04-12,NEFT-UTIBN00000000089-RAZORPAY SOFTWARE PVT LTD,94054189,0,2175032945
bank_000042,2026-04-12,CMS/UTIBN00000000117,27205880,0,2202238825
bank_000043,2026-04-12,RETURN OF NEFT HDFCN00000000239,0,95879196,2106359629
bank_000044,2026-04-12,TRF FROM RAZORPAY REF UTIBN00000000,40118537,0,2146478166
bank_000045,2026-04-12,BY CASH DEPOSIT DECCAN STEEL WORKS,4473305,0,2150951471
bank_000046,2026-04-13,IMPS/UTIBN00000000018/RAZORPAYSOFT,83898487,0,2234849958
bank_000047,2026-04-13,UPI-RAZORPAY-UTIBN00000000043,40436167,0,2275286125
bank_000048,2026-04-13,MERCHANT PAYOUT RAZORPAY SOFTWARE PVT LTD UTR SBINN00000000216,18014078,0,2293300203
bank_000049,2026-04-13,NEFT CR-UTIBN00000000230-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTLEMENT,95824625,0,2389124828
bank_000050,2026-04-13,NEFT-HDFCN00000000239-RAZORPAY SOFTWARE PVT LTD-REPOST,95879196,0,2485004024
bank_000051,2026-04-14,NEFT-UTIBN00000000081-RAZORPAY SOFTWARE PVT LTD,2791567,0,2487795591
bank_000052,2026-04-14,RAZORPAY SOFTWARE PRIVATE LIMITED SETTLEMENT REF KKBKN00000000140,11937020,0,2499732611
bank_000053,2026-04-14,MB:SBINN00000000170 RZPY SETTLEMENT,46132252,0,2545864863
bank_000054,2026-04-14,UPI-RAZORPAY-HDFCN00000000183,87048800,0,2632913663
bank_000055,2026-04-14,RETURN OF NEFT UTIBN00000000230,0,95824625,2537089038
bank_000056,2026-04-15,NEFT-UTIBN00000000230-RAZORPAY SOFTWARE PVT LTD-REPOST,95824625,0,2632913663
bank_000057,2026-04-15,NEFT-SHARMA HARDWARE STORES-INVOICE PAYMENT,10433458,0,2643347121
bank_000058,2026-04-16,BY TRANSFER FROM RAZORPAY SOFTWARE PVT LTD NE,45318630,0,2688665751
bank_000059,2026-04-17,MB:KKBKN00000000163 RZPY SETTLEMENT,40050596,0,2728716347
bank_000060,2026-04-17,GATEWAY PAYOUT RAZORPAY,84373437,0,2813089784
bank_000061,2026-04-18,CMS/ICICN00000000226,97971656,0,2911061440
bank_000062,2026-04-19,MERCHANT PAYOUT RAZORPAY SOFTWARE PVT LTD UTR SBINN00000000073,43875853,0,2954937293
bank_000063,2026-04-19,TRF FROM RAZORPAY REF UTIBN00000000193,86026248,0,3040963541
bank_000064,2026-04-20,NEFT-ICICN00000000094-RAZORPAY SOFTWARE PVT LTD,37436275,0,3078399816
bank_000065,2026-04-20,CMS/HDFCN00000000125,52439301,0,3130839117
bank_000066,2026-04-20,BY TRANSFER-RAZORPAY SOFTW,71575300,0,3202414417
bank_000067,2026-04-20,NEFT-ICICN00000000136-RAZORPAY SOFT,18694008,0,3221108425
bank_000068,2026-04-20,IMPS/UTIBN00000000229/RAZORPAYSOFT,84421647,0,3305530072
bank_000069,2026-04-21,RAZORPAY SETTLEMENT CREDIT,9728648,0,3315258720
bank_000070,2026-04-21,RAZORPAY SETTLEMENT CREDIT,9728648,0,3324987368
bank_000071,2026-04-21,ACH C- RAZORPAY SOFTW KKBKN00000000196,63636700,0,3388624068
bank_000072,2026-04-22,UPI-RAZORPAY-KKBKN00000000232,3237307,0,3391861375
bank_000073,2026-04-23,NEFT-HDFCN00000000119-RAZORPAY SOFTW,60894639,0,3452756014
bank_000074,2026-04-23,GATEWAY PAYOUT RAZORPAY,77065110,0,3529821124
bank_000075,2026-04-24,NEFT-ICICN00000000036-RAZORPAY SOFTWARE PVT LTD,45281500,0,3575102624
bank_000076,2026-04-24,NEFT CR-UTIBN00000000065-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTLEMENT,56526590,0,3631629214
bank_000077,2026-04-24,CMS/KKBKN00000000172,48375989,0,3680005203
bank_000078,2026-04-25,MERCHANT SETTLEMENT CR,54716403,0,3734721606
bank_000079,2026-04-25,NEFT CR-RAZORPAY SOFTWARE PVT LTD,66219941,0,3800941547
bank_000080,2026-04-26,BY TRANSFER FROM RAZORPAY SOFTWARE PVT LTD NEFT SBINN00000000147,25262349,0,3826203896
bank_000081,2026-04-27,ACH C- RAZORPAY SOFTW SBINN00000000022,89647767,0,3915851663
bank_000082,2026-04-28,ACH C- RAZORPAY SOFTW SBINN00000000037,54925138,0,3970776801
bank_000083,2026-04-28,RTGS CR SHARMA HARDWARE STORES INV SETTLEMENT,9445201,0,3980222002
bank_000084,2026-04-28,CMS/HDFCN00000000104,65355215,0,4045577217
bank_000085,2026-04-29,ACH C- RAZORPAY SOFTW SBINN00000000002,26187363,0,4071764580
bank_000086,2026-04-29,TRF FROM RAZORPAY REF SBINN00000000034,57816115,0,4129580695
bank_000087,2026-04-29,GATEWAY PAYOUT RAZORPAY,81615154,0,4211195849
bank_000088,2026-04-29,GATEWAY PAYOUT RAZORPAY,81615154,0,4292811003
bank_000089,2026-04-29,NEFT-SAGARIKA SEAFOODS-INVOICE PAYMENT,9284490,0,4302095493
bank_000090,2026-04-29,BANK CHARGES GST,0,16947868,4285147625
bank_000091,2026-04-30,NEFT CR-RAZORPAY SOFTWARE PVT LTD,11437043,0,4296584668
bank_000092,2026-04-30,NEFT CR-HDFC0001234-SUNRISE ELECTRONICS-DIRECT PAYMENT,1204631,0,4297789299
bank_000093,2026-04-30,RTGS HDFCN00000000162 RAZORPAY,38523020,0,4336312319
bank_000094,2026-05-01,CMS/UTIBN00000000008,40351406,0,4376663725
bank_000095,2026-05-01,CMS/HDFCN00000000039,14526890,0,4391190615
bank_000096,2026-05-01,BY TRANSFER FROM RAZORPAY SOFTWARE PVT LTD NEFT ICICN00000000058,25511774,0,4416702389
bank_000097,2026-05-01,IMPS/SBINN00000000121/RAZORPAYSOFT,21675565,0,4438377954
bank_000098,2026-05-02,NEFT CR-UTIBN00000000003-RAZORPAY SOFTWARE PRIVATE LIMITED-SETTLEMENT,62308424,0,4500686378
bank_000099,2026-05-02,RTGS KKBKN00000000066 RAZORPAY,10625289,0,4511311667
bank_000100,2026-05-02,BY TRANSFER-NEFT*ICICN00000000156*RAZORPAY,61027569,0,4572339236
bank_000101,2026-05-02,RTGS ICICN00000000233 RAZORPAY,21537924,0,4593877160
bank_000102,2026-05-03,REV-NEFT KKBKN00000000066,0,10625289,4583251871
bank_000103,2026-05-03,NEFT CR-KKBKN00000000066-RAZORPAY SOFTWARE PRIVATE LIMITED,10625289,0,4593877160
bank_000104,2026-05-03,RAZORPAY SETTLEMENT CREDIT,27468801,0,4621345961
bank_000105,2026-05-04,BANK CHARGES GST,0,18037672,4603308289
bank_000106,2026-05-05,MERCHANT PAYOUT RAZORPAY SOFTWARE PVT LTD UTR ICICN00000000123,59237079,0,4662545368
bank_000107,2026-05-05,ACH C- RAZORPAY SOFTW HDFCN00000000142,80295550,0,4742840918
bank_000108,2026-05-05,BY TRANSFER-RAZORPAY SOFTW,16775748,0,4759616666
bank_000109,2026-05-06,NEFT CR-RAZORPAY SOFTWARE PVT LTD,90813861,0,4850430527
bank_000110,2026-05-06,MERCHANT PAYOUT RAZORPAY SOFTWARE PVT LTD UTR UTIBN00000000240,49799492,0,4900230019
bank_000111,2026-05-07,RAZORPAY SOFTWARE PRIVATE LIMITED SETTLEMENT REF HDFCN00000000045,50836797,0,4951066816
bank_000112,2026-05-07,MB:SBINN00000000071 RZPY SETTLEMENT,129597454,0,5080664270
bank_000113,2026-05-07,NEFT CR-RAZORPAY SOFTWARE PVT LTD,104406343,0,5185070613
bank_000114,2026-05-08,GATEWAY PAYOUT RAZORPAY,13999300,0,5199069913
